location,type,description
New York,State,Epstein's Manhattan mansion and operations
Florida,State,Palm Beach residence and alleged crimes
New Mexico,State,Zorro Ranch property
California,State,West coast connections
Ohio,State,Midwest connections
Virgin Islands,Territory,Little St. James island location
France,Country,Paris apartment and European connections
United Kingdom,Country,London connections and Prince Andrew
Israel,Country,Alleged intelligence connections
Morocco,Country,North African properties
Spain,Country,European properties
Monaco,Country,Mediterranean connections
Switzerland,Country,Banking and financial connections
Austria,Country,European operations
Belgium,Country,European connections
Manhattan,City,Upper East Side mansion
Palm Beach,City,Florida residence location
Santa Fe,City,New Mexico ranch area
Los Angeles,City,West coast operations
Miami,City,Florida connections
Paris,City,French apartment location
London,City,UK operations and connections
Tel Aviv,City,Israeli connections
Tangier,City,Moroccan property
Private Islands,Category,Isolated island properties
Luxury Resorts,Category,High-end vacation locations
Private Airports,Category,Aviation-related locations
Mansions,Category,Residential properties
Penthouses,Category,Urban luxury residences
Ranches,Category,Rural properties
Prisons,Category,Detention facilities
Courthouses,Category,Legal proceedings locations
Hospitals,Category,Medical facilities
Universities,Category,Academic institutions with Epstein ties
Financial Districts,Category,Banking and investment locations
Yacht Locations,Category,Maritime travel destinations
Private Clubs,Category,Exclusive membership venues
Hotels,Category,Temporary residences
Airports,Category,Travel hubs
International Waters,Category,Offshore locations beyond jurisdiction
